Greedy,Random,Annealing,Hill Climbing
10693974666,24997858473661,23050031765,1557450521,
1312644473,24997891784136,17509414227,1819267955,
1404227893,24997855047631,15247945636,3910876687,
2283755507,24997872057753,1769557253,37654125643,
1152537070,24997861688759,117114376,839313476,
96531632,24997904337310,33733233733,24483777056,
502107257,24997856164090,5374887433,7848753806,
3827659888,24997870122514,56596899414,5740476761,
7388985854,24997862259619,1861475542,34955874618,
1298026924,24997868188054,9315194721,8516805351,
10323139904,24997871209898,9801102613,15255095547,
5729998742,24997872414341,21731347053,2621099369,
6651737307,24997868484975,680623166,7845631644,
3571586305,24997890192956,44102814234,107539278043,
1434716603,24997864962526,46308918575,2513084948,
3234818335,24997861515188,4977872911,38219310652,
2659097108,24997852782269,5501089200,20105182312,
2300065471,24997861015633,13935059827,26862066109,
14293686219,24997863530060,15619023236,1794069877,
5999366430,24997862451069,4163177839,2577450601,
2140791490,24997853141250,9279711383,13819557137,
6108507007,24997863466459,3959568105,2920529898,
1604732188,24997886800791,5179537662,1656930365,
2354513753,24997873212815,919796849,7232383816,
441375546,24997859070156,15868108016,7558768224,
5019175832,24997922245396,936567681,3888920574,
3472860628,24997857799472,29615572726,5341848451,
5894630686,24997853939253,9424043360,593559618,
4400524011,24997859045196,20135817488,1426131565,
292942695,24997869074035,710474391,5371309096,
4944936923,24997895806433,23812156622,5096968418,
789230046,24997861580562,19915864006,21080988298,
1286396821,24997880812449,6611114847,9618159449,
4643646745,24997860577000,16848503367,2881017336,
865378561,24997876924617,36378676586,4972378368,
21580204696,24997853636595,23461388935,39425390797,
3826946688,24997890218034,15165224339,20549990271,
1045917227,24997865417190,8296151937,5797311966,
1098229813,24997855777291,81434967139,499356087,
10548993232,24997852918971,21550052758,67843575594,
2459655508,24997881660363,12019571190,5808979887,
2256779474,24997873843364,3285562303,17834693647,
6293953984,24997882973478,2106944176,11591659773,
2228991578,24997888854768,336865415,5276420955,
672259896,24997856801446,351562137,5098282625,
8626552596,24997866421141,23566503657,1420167936,
7751062401,24997860935537,14173897037,30920371483,
6625781597,24997862590633,1948031660,7640336217,
501339684,24997859125761,3034394651,9619609348,
4413162390,24997853963113,15216949996,198391939,
